Bno,Bname,Author,price,publ,qty,d_o_purchase
827,THE UTOPIA OF SIR THOMAS MORE,RALPH ROBINSON,218,"MACMILLAN AND CO. LIMITED, LONDON",1,1908
828,NEW INDIA IN TRANSITION,SIR HENRY COTTON,301,"KEGAN PAUL, TRENCH, TRUBNER & CO. LONDON",4,1907
829,ARMED STRUGGLE FOR FREEDOM NINETY YEARS,BALSHASTRI HARDAS,469,"KAL PRAKASHAN, POONA",3,1958
830,EK KARYAKARTA KI DIARY VOL. I,SITARAM SEKRASIYA,448,"BHARATIYA GYANPEETH PRAKASHAN, DELHI",5,1972
831,CHINA TODAY,SUNDER LAL,701,"HINDUSTANI CULTURE SOCIETY, ALLAHABAD",3,1952
832,POONA RESIDENCY CORRESPONDENCE MARATHA NIZAM VOL. 4,V.G.DIGHE,330,"GOVERNMENT BOOK DEPOT, BOMBAY",2,1937
833,ORISSA,W.W.HUNTER,,"SMITH, ELDER & CO., LONDON",1,1872
834,"A COLLECTION OF TREATIES, ENGAGEMENTS AND SANADS VOL. VI",C.U. AITCHISON,107,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1909
835,SHRI GEORGE PRASHASTI,PT. PARMANAND PANDEY SHASTRI,184,…,1,1935
836,SELECTED SPEECHES OF SH. MORARJI DESAI,,106,HIND KITABS LTD. PUBLISHERS BOMBAY,5,1956
837,GAZETTEERS OF BOMBAY RESIDENCY BIJAPUR AND JATH VOL. XXIII-B,GOVERNMENT OF BOMBAY,73,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",3,1926
838,GAZETTEERS OF THE BOMBAY RESIDENCY VOL. XX-B SHOLAPUR AKALKOT VOL. XX-B,GOVERNMENT OF BOMBAY,79,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",4,1926
839,"GAZETTEERS OF BOMBAY RESIDENCY SATARA, PHALTON AND AUNDH VOL. XIX-B",GOVERNMENT OF BOMBAY,87,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",4,1926
840,GAZETTEERS OF BOMBAY RESIDENCY THANA AND JAWHAR VOL. XIII-B,GOVERNMENT OF BOMBAY,67,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",2,1926
841,GAZETTEERS OF BOMBAY RESIDENCY KOLABA AND JANJIRA VOL. XI-B,GOVERNMENT OF BOMBAY,66,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",3,1926
842,GAZETTEER OF THE PROVINCE OF SIND THANA AND PARKAR DISTRICT VOL. VI-B,GOVERNMENT OF BOMBAY,79,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",1,1926
843,GAZETTEER OF THE PROVINCE OF BELGAUM VOL. XXI-B,GOVERNMENT OF BOMBAY,57,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",1,1926
844,GAZETTEER OF THE PROVINCE OF BOMBAY PRESIDENCY VOL. V-B MAHI KANTHA,GOVERNMENT OF BOMBAY,,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",4,1926
845,GAZETTEER OF THE PROVINCE OF SIND VOL. VII UPPER SIND FRONTIER DISTRICT,GOVERNMENT OF BOMBAY,99,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",5,1926
846,GAZETTEER OF THE PROVINCE OF SURAT AND BROACH VOL. II-B,GOVERNMENT OF BOMBAY,142,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",3,1920
847,GAZETTEER OF THE PROVINCE OF BOMBAY RESIDENCY VOL. XXIV-B,GOVERNMENT OF BOMBAY,71,"THE GOVERNMENT CENTRAL PRESS, BOMBAY",5,1926
848,GANDHIJI AUR GAU SEWA,YASHWANT MAHADEV PARNEKAR,130,"SASTA SAHITYA MANDAL PRAKASHAN, NEW DELHI",4,1927
849,MAHARASHTRA STATE GAZETTEER NAGPUR DISTRICT,…,885,"THE DIRECTOR, GOVERNMENT PRINTING AND STATIONARY, MAHARASHTRA STATE",5,1966
850,MAHARASHTRA STATE GAZETTEER OF INDIA BOTANY PART III-MISCELLANEOUS PLANTS,…,602,"THE DIRECTOR, GOVERNMENT PRINTING AND STATIONARY, MAHARASHTRA STATE",4,1961
851,GAZETTEER OF THE PROVINCE OF SINDH,E.H. AITKEN,579,…,5,1907
852,HISTORICAL SELECTION FROM BARODA RECORD,A. M. JOSHI,341,"GOVERNMENT PRESS, BARODA",2,1955
853,THE LUSHEI KUKI CLAN,J. SHAKESPEARE,250,MACMILLAN & CO. LTD. LONDON,3,1912
854,MAHARSHTRA STATE GAZETEER KOLABA DISTRICT,GOVERNMENT OF BOMBAY,1160,"THE DIRECTORATE OF PRINTING AND STATIONARY, BOMBAY",1,1964
855,MAHARSHTRA STATE GAZETEER KOLHAPUR DISTRICT,GOVERNMENT OF BOMBAY,1029,"THE DIRECTORATE OF PRINTING AND STATIONARY, BOMBAY",5,1960
856,SANITATION IN INDIA,J.A. TURNER,1014,BOMBAY,1,1914
857,RAJASTHAN SWTANTRATA KE PEHLE VIVAD,"CHANDRAGUPT VARSHANEY, KRISHNACHANDRA VIDHYALANKAR",,"PAWAN PATHAK, HINDI SAHITYA LIMITED PRAKASHAN AJMER",4,1966
858,HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE,EDWARD GIBBON,530,"METHUEN & CO. LTD, LONDON",2,1905
859,INDIA AT THE DEATH OF AKBAR,W.H.MORELAND,328,"MACMILLAN AND CO. LIMITED, LONDON",1,1920
860,"MARWADI SARVAJANIK PUSTAKALAYA DELHI KA PANJIKARAN, VIDHAN NIYAM AUR UPNIYAM",BALKRISHNA SINGHANIA & SURESH KUMAR SINGHANIA,16,…,1,1920
861,BAAPU KI KARAWAS KI KAHANI,DR. SUSHILA NAIYAR,575,"SASTA SAHITYA MANDAL, NEW DELHI",1,1969
862,MAHADEV BHAU KI DIARY,JEHERIDA PARIKH,524,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",5,1951
863,BAAPU K KADMO ME,DR. RAJENDRA PRASAD,272,"SHRI AJANTA PRESS LIMITED, PATNA",5,1950
864,RECORDS OF THE GEOLOGICAL SURVEY OF INDIA VOL. XXXVIII,GOVERNMENT OF INDIA,342,GOVERNMENT OF INDIA,2,1910
865,POONA RESIDENCY CORRESPONDENCE VOL. 14,JADU NATH SARKAR,414,BOMBAY,4,1951
866,POONA RESIDENCY CORRESPONDENCE VOL. 13,G.S. SARDESAI,522,BOMBAY,1,1958
867,POONA RESIDENCY CORRESPONDENCE VOL. 12,G.S. SARDESAI,462,BOMBAY,1,1950
868,POONA RESIDENCY CORRESPONDENCE VOL. 10,RAGHUBIR SINGH,288,BOMBAY,3,1951
869,REVIVAL OF MARATHA POWER 1761-1772,P.M. JOSHI,180,"GOVERNMENT CENTRAL PRESS, BOMBAY",2,1962
870,POONA RESIDENCY CORRESPONDENCE,G.S. SARDESAI,691,"GOVERNMENT BOOK DEPOT, BOMBAY",3,1939
871,SELECTIONS FROM THE RECORDS OF THE GOVERNMENT OF INDIA,…,226,"THE AUTHORITY, CALCUTTA",5,1879
872,1942-43 UPDRAVON K LIYE CONGRESS KA UTTRDAITVA,…,110,"MANAGER, GOVERNMENT OF INDIA PRAKASHAN, DELHI",3,1943
873,MARXVAAD,YASHPAL,256,"VIPLAV KARYALAYA, LUCKNOW",4,1940
874,GANDHI JINNAH VARTALAP,,90,"DEVIPRASAD SHARMA, HINDUSTAN TIMES PRESS, NEW DELHI",5,1944
875,SWTANTRA BHARAT KI JHALAK,DR. RAJENDRA PRASAD,338,"SASTA SAHITYA MANDAL PRAKSHAN, NEW DELHI",5,1973
876,ATAMKATHA,MOHAN DAS KARAMCHAND GANDHI,413,SASTA MANDAL AJMER,5,1984
877,ATAMKATHA,MOHAN DAS KARAMCHAND GANDHI,509,SASTA MANDAL AJMER,4,1929
878,WAR AND POLICE IN CHINA,SIR JOHN T. PRAT,354,"JONATHAN CAPE, LONDON",2,1956
879,NEHRU,MICHAEL BREACHER,354,"MOTILAL BANARSIDASS, DELHI",4,1961
880,SATYAGRAHA ASHRAM KA ITIHAS,MOHAN DAS KARAMCHAND GANDHI,98,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",3,1948
881,KALIDAS KA BHARAT VOL. 2,SHRI BHAGVAT SHARAN UPADHAYA,240,"AYODHYAPRASAD GOYLIYA, BHARATIYA GYANPEETH, KASHI",4,1955
882,VIJAYNAGAR SAMRAJYA KA ITIHAS,VASUDEV TRIPATHI,278,"MARTAND UPADHYAYA, SASTA SAHITYA MANDAL PRAKASHAN, DELHI",4,1945
883,EK MAHAN CHUNAUTI,LOUIS FISHER,427,"SASTA SAHITYA MANDAL, DELHI",5,1946
884,VINOBA KE VICHAR,VIYOGI HARI,,"SASTA SAHITYA MANDAL, DELHI",3,1946
885,MERE JAIL KE ANUIBHAV,GANDHI GI,91,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",4,1962
886,DAKSHIN AFRICA KE SATYGRAHA KA ITIHAS,MOHAN DAS KARAMCHAND GANDHI,400,"SHANTILAL HARJIVAN SHAH, NAVJIVAN PRAKASHAN, AHMEDABAD",5,1968
887,MAHATMA GANDHI,SHRI BABU RAI CHANDRA VERMA,585,"GANDHI HINDI PUSTAK BHANDAR, BOMBAY",2,1978
888,NEPAL KI KAHANI,KASHI PRASAD SRIVASTAV,293,ATMARAM & SONS DELHI,2,1955
889,BAPU KE SATH,SUMAGAL PARKASH,187,,2,1976
890,GANDHIJI KI CHATRACHAYA ME,GHANSHYAM DAS BIDLA,416,"SATSAHITYA PRAKASHAN, DELHI",1,1955
891,THE CHERISHED GOAL,GALINA ZYBINA,316,"FOREIGN LANGUAGES PUBLISHING HOUSE, MOSCOW",1,1956
892,SHRESHTATHI JAMNALAL JI,SHRI HARI BHAU UPADHYAY,488,"SASTA SAHITYA MANDAL, DELHI",1,1951
893,RAJNEETI SHASTRA,PRAN NATH VIDHALKAR,434,"GYAN MANDAL KARYALAYA, KASHI",1,1979
894,LENIN: SMARAN,KUPSKAAYA,509,"PEOPLE'S PUBLISHING HOUSE PVT LTD, DELHI",3,1968
895,KUNWAR SINGH -AMAR SINGH,DR. KALIKIKDAR DUTT,316,"BIHAR RASHTRABHASHA PARISHAD, SAMMELAN BHAWAN, PATNA",5,1959
896,VIGYAN SHABDAVLI,DR. KALIKIKDAR DUTT,534,"THE MANAGER, PUBLICATION BRANCH, NASIK",4,1964
897,INDIA - A PICTORIAL SURVEY,LOWELL BAIR,117,"THE PUBLICATIONS DIVISION MINISTRY OF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",2,1960
898,THE PRINCIPLE OF NATIONAL SELF DETERMINATION IN SOVIET FOREIGN POLICY,G. STARUSHENKO,247,"FOREIGN LANGUAGES PUBLISHING HOUSE, MOSCOW",4,
899,KRANTIKARIYON KE SMARAN,JHARKHANDE RAI,94,"PEOPLE'S PUBLISHING HOUSE PVT LTD, DELHI",1,1969
900,EVERY COMMON BUSH THOUGHTS IN PROSE AND VERSE,PATIENCE STRONG,366,FREDERICK MULLER LTD. LONDON,3,
901,EK KARYAKARTA KI DIARY VOL. II,SITARAM SEKRASIYA,783,"BHARATIYA GYANPEETH PRAKASHAN, DELHI",1,1972
902,NOBEL PURASKAR VIJETA SAHITYAKAR,THAKUR RAJ BAHADUR SINGH,228,"RAJPAL & SONS, DELHI",1,1963
903,AURENGZEB 1618-1707,JADUNATH SARKAR,676,"HINDI GRANTH RATNKAKAR KARYALAYA, BOMBAY",1,1951
904,MAULANA AZAD ( JEEVAN CHARITRATMAK SANSMARAN,SHRI MAHADEV DESAI,140,"NAVYUG SAHITYA SADAN, INDORE",5,1941
905,SARDAR PATEL KE BHASHAN-1918-47,"NARHARI DWARKADAS PARIKH, BHUTAN CHAND, DEEPCHAND SHAH",624,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",2,1950
906,BHARATIYA VASTUKALA KE 5000 VARSH,,50,"PUBLICATION DIVISION MINISTRY IF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",3,1957
907,SAHITYA KA ITIHAS DARSHAN,NALIN VILOCHAN SHARMA,373,"BIHAR RASHTRABHASHA PARISHAD, SAMMELAN BHAWAN, PATNA",2,1965
908,BHARAT (VARSHIK SANDARBH GRANTH ) 1965,,331,"PRAKASHAN VIBHAG, SOOCHNA AUR PRASARAN MANTRALAYA, BHARAT SARKAR",2,1960
909,AUGUST KRANTI,PROF. BALDEV NARAYAN,452,"BHOLANATH VIMAL SHUKDEV NARAIN, PUDTAK JAGAT, PATNA",5,1947
910,JAIN TEERTHSTHAN JAISALMER,DEEN DAYAL OJHA,52,"MOOMAL PRAKASHAN, JAISALMER",2,
911,SANYUKT RASHTRA AMERICA KASANSHIPT ITIHAS,"ELEN NEBIHANS, HENRY STEEL KO MEGAR",584,"PEARL PUBLICATIONS PRIVATE LIMITED, BOMBAY",4,1960
912,BHARTIYA SIKKE,VASUDEV UPADHYAY,259,"BHARATDARPAN GRANTHMALA, BHARATI BHANDAR, PRAYAG",3,2005
913,BHARAT ME SHASHTRA KRANTI,MANMAY NATH GUPTA,344,"CHATRAHITKARI PUSTAKMALA, PRAYAG",3,1952
914,SOVIET SANGH KA SANSHIPT ITIHAS,GOPI KRISHNA GOPESH,493,"FOREIGN LANGUAGES PUBLISHING HOUSE, MOSCOW",2,
915,VISHWA ITIHAS KI JHALAK,JAWAHAR LAL NEHRU,1420,"MARTAND UPADHYAY, SASTA SAHITYA MANDAL, NEW DELHI",3,1962
916,GANDHI JI KI DEN,RAJENDRA PRASAD,109,"MARTAND UPADHYAY, SASTA SAHITYA MANDAL, NEW DELHI",1,1953
917,SARDAR VALLABHPATEL KE BHASHAN-1918-47,NARHARI DWARKADAS PARIKH,544,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",4,1951
918,PRACHEEN BHARAT KA ITIHAS,BHAGVAT SHARAN UPADHAYA,386,"GRANTHMALA KARYALAYA, PATNA",5,1949
919,RAJPUTANE KA ITIHAS,JAGDISH SINGH GEHLOT,720,"HINDI SAHITYA MANDIR, JODHPUR",2,1937
920,MAHATMA GANDHI,V.R. NANDA,378,"SASTA SAHITYA MANDAL,NEW DELHI",2,1965
921,NOBEL PURASKAR VIJETA MAHILAYEN,ASHA RANI VOHRA,130,"RAJPAL & SONS, DELHI",1,1975
922,GANDHI BENAKAB,HANS RAAG REHVER,271,"DISHA PRAKASHAN, DELHI",5,1971
923,ETIHASIK BHAUTIKVAD,MANMATH NATH GUPTA AND VERMA,525,"INDIAN PRESS LIMITED, PRAYAG",3,1946
924,BAPU KI KALAM SE,KAKA SAHAB KALKELKAR,454,"NAVJIVAN PRAKASHAN MANDIR, AHMEDABAD",2,1957
925,GALIB,SHRI RAMNATH SUMAN,511,"BHARATIYA GYANPEETH, VARANASI",5,1960
926,KHANADAHRON KA VAIBHAV,SHRI MUNI KRANTISAGAR,436,"BHARATIYA GYANPEETH, VARANASI",1,1953
927,ROOS KI CHITTHI,RAVINDRA NATH THAKUR,180,"VISHAL BHARAT PUSTAKALAYA, CALCUTTA",4,1988
928,ADHUNIK BHARAT,SHANKAR DWATREY JAVEDKAR,394,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",5,1953
929,VISHWA KI MAHAAN MAHILAYEN,SHACHI RANI GURTU,202,"BRAHMAVVER GUPT, YUG PRAKASHAN, DELHI",2,1951
930,JAWAHAR LAL NEHRU VAANGMAY VOL. I,S. GOPAL,399,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",2,1973
931,JAWAHAR LAL NEHRU VAANGMAY VOL. II,S. GOPAL,447,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",3,1974
932,JAWAHAR LAL NEHRU VAANGMAY VOL. III,S. GOPAL,438,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",5,1974
933,JAWAHAR LAL NEHRU VAANGMAY VOL. IV,S. GOPAL,614,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",3,1974
934,HINDUSTAN KI PURANI SABHYATA,BENI PRASAD,480,"HINDUSTANI ACADEMY, ALLAHABAD",2,1950
935,SANKSHIPT HINDUTAN KI KAHANI,JAWAHAR LAL NEHRU,424,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",4,1954
936,VISHWA VIKHYAT MAHILAYEN,ASHA RANI VOHRA,208,"RAJPAL & SONS, DELHI",4,1975
937,SWATANTRATA KI AUR,HARI BHAU UPADHYAY,362,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",4,1935
938,KHANDIT BHARAT,DR. RAJENDRA PRASAD,666,"GYANMANDAL PUSTAK BHANDAR LIMITED, BANARAS",1,1947
939,MERE ANEK SANSAAR,PALBIK,577,"RAJPAL & SONS, DELHI",5,1960
940,BAAPU KE CHARNO ME,BRAJ KRISHNA CHANDIWALA,183,"MARTAND UPADHAYAY, SASTA SAHITYA MANDAL PRAKASHAN, DELHI",5,1948
941,LADKHADATI DUNIYA,JAWAHAR LAL NEHRU,154,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",2,1951
942,DADABHAI NAURAUJI : ADHUNIK BHARAT KE NIRMATA,R.M MASANI,234,"PRAKASHAN VIBHAG, SOOCHNA AUR PRASARAN MANTRALAYA, BHARAT SARKAR",1,1961
943,EK KRANTIKARI KI ATAMKATHA,BANARSIDAS CHATURVEDI,105,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",3,1978
944,ENGLAND ME MAHATMA GANDHI,MAHADEV DESAI,204,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",3,1954
945,PRACHEEN BHARATIYA VIDESH YATRI,JAGANNATH PRABHAKAR,,"KITABGHAR, DELHI",1,1973
946,ENGLAND ME GANDHIJI,MAHADEV DESAI,202,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",4,1959
947,SHRI ARVIND KA JEEVAN DARSHAN,INDRASEN,144,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",1,1972
948,HINDI BHASHA AUR SAHITYA,SHYAM SUNDER DAS,414,"K. MITTRA, THE INDIAN PRESS, LTD. ALLAHABAD",2,1937
949,BHARAT ME ANGREJI RAJ,SUNDER LAL,1780,"TRIVENI NATH VAJPAYI, OMKAR PRESS, ALLAHABAD",3,1930
950,BAAPU KI KARAVAS KI KAHANI,SUSHILA NAIYAR,563,"SASTA SAHITYA MANDAL PRAKASHAN, DELHI",5,1960
951,ROADS AND COMMUNICATIONS IN MUGHALS INDIA,ABUL KHAIR MUHAMMAD FAROOQUE,248,"IDARAH-I-IDABIYAT-I-DELHI, DELHI",1,1977
952,INSIDE CONGRESS,SWAMI SHRADDANAND,,"K.B. DHAWALE, PHOENIX PUBLICATIONS, BOMBAY",3,1946
953,HISTORY OF FREEDOM MOVEMENT IN INDIA VOL. II,R.C. MAJUMDAAR,509,"K.L. MUKHOPADHYAY, FIRMA K.L.M. PRIVATE LIMITED, CALCUTTA",5,1975
954,HISTORY OF FREEDOM MOVEMENT IN INDIA VOL. III,R.C. MAJUMDAAR,760,"FIRMA K.L.M. PRIVATE LIMITED, CALCUTTA",3,1977
955,SKETCHES OF ROLERS OF INDIA VOL. I,G.D. OSWELL,171,"RESEARCHCO PUBLICATIONS, DELHI",4,1972
956,SKETCHES OF ROLERS OF INDIA VOL. II,G.D. OSWELL,215,"RESEARCHCO PUBLICATIONS, DELHI",3,1972
957,SKETCHES OF ROLERS OF INDIA VOL. III,G.D. OSWELL,228,"RESEARCHCO PUBLICATIONS, DELHI",1,1972
958,CRISIS IN PUNJAB FROM THE 10th OF MAY,FREDRIC COOPER,144,"SAMEER PRAKASHAN, CHANDIGARH",3,1977
959,DEFECTS CIVIL AND MILITARY OF THE INDIAN GOVERNMENT,SIR CHARLES JAMES NAPIER EDITED BY SIR W.F.P. NAPIER,437,"SHABD SANCHAR, AJMER NEW DELHI",5,1977
960,BONDAGE AND FREEDOM HISTORY OF MODERN INDIA 1701-1858 VOL. I,BISHESHWAR PRASAD,619,"M.L. GUPTA, RAJESH PUBLICATIONS, NEW DELHI",4,1979
961,BONDAGE AND FREEDOM HISTORY OF MODERN INDIA 1701-1947 VOL. II,BISHESHWAR PRASAD,586,"M.L. GUPTA, RAJESH PUBLICATIONS, NEW DELHI",5,1977
962,PEASANTRY AND THE INDIAN NATIONAL MOVEMENT 1919-1933,SHIVE KUMAR,274,"ANU PRAKASHAN, MEERUT",1,1980
963,THE CRIPPS MISSION,BHIMSEN SINGH,114,"USHA PUBLICATIONS, DESHBANDHU GUPTA ROAD, DELHI",3,1979
964,THE EXTREMIST MOVEMENT IN INDIA,DR. J.N. VAJPAYEE,378,"RAMESH KUMAR, CHUGH PUBLICATIONS, ALLAHABAD",3,1974
965,THE GOVERNMENT OF THE SULTANATE,U.N.DEY,219,"KUMAR BROTHERS, NEW DELHI",3,1972
966,FREEDOM OVEMENT IN PUNJAB 1905-1929,S.C. MITTAL,256,"CONCEPT PUBLISHING COMPANY, DELHI",3,1977
967,"HISTORY, CASTE AND CULTURE OF JATS AND GURJARS",A.H. BINGLEY,128,ESS ESS PUBLICATION NEW DELHI,1,1978
968,SKETCHES OF RULEERS OF INDIA VOL. 4,G.D. OSWELL,232,"RESEARCHCO PUBLICATIONS, DELHI",2,1976
969,BRITISH INDIA'S FIRST FREEDOM MOVEMENT,SUBARNA GHOSH AND LAL GHOSH,192,"FIRMA K.L.M. PRIVATE LIMITED, CALCUTTA",1,1979
970,HINDUSTAN GADAR PARTY A SHORT HISTORY VOL. I,SOHAN SINGH JOSH,310,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",2,1977
971,EUROPEAN TRAVELLERS UNDER THE MUGHALS,MOHAMMAD AZHAR ANSARI,152,"MOHAMMAD AHMED, IDRAH-I-ADABIYAT-I-DELHI",4,1975
972,"NATIONAL ARCHIVES OF INDIA ANNUAL REPORT, 1993",NATIONAL ARCHIVES OF INDIA,62,NATIONAL ARCHIVES OF INDIA,1,1995
973,CONGRESS AND THE RAJ (1917-47,D.A. LOW,513,HEINMAN EDUCATIONAL BOOKS LTD. LONDON,4,1977
974,GARDENS OF THE GREAT MUGHALS,C.M. VILLIERS STUART,290,"R.S. PUBLISHING HOUSE, ALLAHABAD",2,1979
975,THE GREAT ATTACK,SOHAN SINGH JOSH,110,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1979
976,HINDUSTAN GADAR PARTY A SHORT HISTORY VOL. II,SOHAN SINGH JOSH,355,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",2,1978
977,HISTORY OF THE GREAT MUGHALS,PRINGLE KENNEDY,556,THACKER SPINK & CO. (1933) PRIVATE LTD. CALCUTTA,1,1968
978,ANNALS AND ANTIQUITIES OF RAJASTHAN VOL. I,JAMES TOD,631,"M.N. PUBLISHERS, NEW DELHI",4,1978
979,ANNALS AND ANTIQUITIES OF RAJASTHAN VOL. II,JAMES TOD,637,"M.N. PUBLISHERS, NEW DELHI",5,1978
980,MONUMENTS OF DELHI A HISTORICAL STUDY,R. NATH,,"P.P. ANAND, NEW DELHI",3,1978
981,MUSLIM DESHBHAKT,RATAN LAL BANSAL,143,"HINDUSTANI CULTURE SOCIETY, ALLAHABAD",1,1976
982,AZAD KI PISTOL AUR UN KE GADDAR SATHI,GHAMENDRA GAUR,85,"MAULIK SAHITYA PRAKASHAN, DELHI",2,1974
983,HAN! YAAD ATA HAI: THA EK MAHATMA,SIR JOHN MARSHALL,,,4,1913
984,THE CITIZEN OF INDIA,W. LEE WARMER,177,MACMILLAN AND CO. LIMITED LONDON,2,1899
985,"A GUIDE TO THE OBSERVATION AT DELHI, JAIPUR",G.R. KAYE,108,CALCUTTA,4,…
986,ILLUSTRATED CATALOGUE OF THE EXHIBITS VICTORIA MEMORIAL,GEORGE WATT,140,"THE MANAGER OF GOVERNMENT OF INDIA PRESS, CALCUTTA",3,1925
987,CATALOGUE OF ARCHAELOGICAL EXHIBITS,,54,ALLAHABAD,5,1915
988,AN ORIENTAL BIOGRAPHICAL DICTIONARY,BEALE,431,"RAMESH CHANDRA JAIN, MANOHAR REPRINT, DELHI",4,1971
989,ENCYCLOPEDIA OF SOLDIERS WITH GALLANTRY AWARD,BEALE,630,"CITY HOUSE JOURNALS & ENCYCLOPAEDIAS, NEW DELHI",1,1980